ANIO,MES,SEMANA,ADUA_DESC_CODE,PAIS_DESC_CODE,VARIEDAD_CODE,ES_ORGANICO,FOB_DOLPOL_KG,PESO_NETO
2022,8,34,3,14,36,1,7.254803675856308,9576
2022,8,34,3,14,16,1,6.972315789473684,9500
2022,8,34,3,14,16,1,7.221303258145364,11970
2022,8,34,3,14,16,1,7.011595716897363,19145
2022,8,34,3,14,16,1,6.972315789473684,9500
2022,8,34,3,14,16,1,7.221303258145364,11970
2022,8,35,3,14,40,1,6.156888888888889,18000
2022,8,35,3,14,36,1,5.405548654244306,12075
2022,9,35,3,14,36,1,7.095869408369408,11088
2022,9,35,3,14,36,1,10.135338345864662,2394
2022,9,35,3,14,36,1,5.959465249807182,11669
2022,9,35,3,14,16,1,7.0546327796678,9994
2022,9,35,3,14,16,1,7.209913793103448,11600
2022,9,35,3,14,16,1,6.996105263157895,9500
2022,9,35,3,14,16,1,7.240183792815372,11970
2022,9,35,3,14,36,1,7.622384589837264,6022
2022,9,36,3,14,36,1,5.452091097308489,12075
2022,9,36,3,14,36,1,4.52248275862069,14500
2022,9,36,0,14,36,1,6.145608465608466,18900
2022,9,36,3,14,36,1,7.273600668337511,9576
2022,9,36,3,14,36,1,7.729086489771116,9874
2022,9,36,3,14,16,1,7.240183792815372,11970
2022,9,36,3,14,16,1,7.240183792815372,11970
2022,9,36,3,14,36,1,7.454545454545454,6985
2022,9,36,3,14,36,1,8.733500417710944,2394
2022,9,37,3,14,36,1,4.0626984126984125,20160
2022,9,37,0,14,36,1,7.356896167557932,17952
2022,9,37,0,14,36,1,7.223224728487886,11970
2022,9,37,3,14,31,1,6.272280701754386,1425
2022,9,37,3,14,16,1,7.272445820433436,8075
2022,9,37,3,14,16,1,7.29381039435884,7658
2022,9,37,3,14,31,1,6.344808126410835,1772
2022,9,37,3,14,31,1,7.367549403952316,12499
2022,9,37,3,14,16,1,8.369254341164453,1958
2022,9,37,3,14,36,1,8.023817345597898,6088
2022,9,37,5,14,36,1,4.903057644110276,9975
2022,9,37,3,14,36,1,5.658625730994152,9576
2022,9,37,3,14,36,1,8.50125313283208,2394
2022,9,38,0,14,40,1,4.990036231884058,19872
2022,9,38,0,14,36,1,4.526444315918,15561
2022,9,38,3,14,36,1,4.194183673469388,19600
2022,9,38,0,14,36,1,6.205132275132275,18900
2022,9,38,0,14,36,1,6.177936507936508,18900
2022,9,38,3,14,31,1,5.846105263157895,9500
2022,9,38,5,14,36,1,5.919512966476914,18972
2022,9,38,3,14,36,1,8.195906432748538,2394
2022,1,1,3,14,36,1,5.44488612836439,12075
2022,1,1,3,14,36,1,5.44488612836439,12075
2022,1,1,5,14,36,1,4.587316176470588,16320
2022,1,1,5,14,36,1,4.953101503759399,10640
2022,1,2,5,14,36,1,4.551642922794118,17408
2022,1,2,3,14,36,1,5.622194616977226,12075
2022,1,3,3,14,36,1,5.06592132505176,12075
2022,1,4,3,14,36,1,5.5249689440993786,12075
2022,2,5,3,14,36,1,5.622194616977226,12075
2022,2,7,3,14,36,1,5.564886128364389,12075
2022,2,7,5,14,36,1,5.755535714285714,16800
2022,2,7,5,14,36,1,5.476430976430977,594
2022,2,7,5,14,36,1,5.47587313340738,16206
2022,2,8,3,14,36,1,5.622194616977226,12075
2022,3,9,5,14,36,1,5.326428571428571,16800
2022,3,9,5,14,36,1,5.3258594917787745,669
2022,3,9,5,14,36,1,5.326390180397992,16131
2022,3,9,5,14,36,1,5.199803149606299,3048
2022,3,9,5,14,36,1,5.199898196625945,13752
2022,6,24,5,14,36,1,4.828767123287672,7884
2022,6,24,5,14,36,1,4.828734858681023,8916
2022,6,26,3,14,36,1,7.033864291985451,15946
2022,6,26,3,14,36,1,5.413078149920255,1254
2022,7,27,5,14,36,1,4.374146631047789,13476
2022,7,27,5,14,36,1,4.3742478941034895,3324
2022,7,27,3,14,36,1,6.207242339832869,1795
2022,7,27,3,14,36,1,6.607724206226403,16157
2022,7,27,0,14,36,1,6.365605095541401,7850
2022,7,27,3,14,36,1,6.667883889335892,16157
2022,7,27,3,14,36,1,5.113649025069638,1795
2022,7,27,5,14,36,1,4.841640378548896,4755
2022,7,27,5,14,36,1,4.84151100041511,12045
2022,7,28,3,14,36,1,5.864623955431755,1795
2022,7,28,3,14,16,1,4.435588972431078,11970
2022,7,28,3,14,36,1,6.443832394627716,16157
2022,7,29,3,14,36,1,6.350877192982456,1197
2022,7,29,3,14,16,1,4.477276524644946,11970
2022,7,29,3,14,36,1,6.323265457696355,16157
2022,7,29,3,14,16,1,4.477276524644946,11970
2022,7,29,3,14,4,1,4.803621169916434,4308
2022,7,29,3,14,35,1,4.803617571059432,3870
2022,7,29,3,14,40,1,4.80374612264376,8382
2022,7,29,0,14,36,1,7.034166666666667,14400
2022,7,30,3,14,16,1,4.260066833751044,11970
2022,7,30,3,14,16,1,3.60843776106934,11970
2022,7,30,3,14,36,1,6.598254626477687,16157
2022,7,30,3,14,36,1,6.152882205513785,1197
2022,8,31,3,14,36,1,9.097966038440008,5359
2022,8,31,3,14,4,1,4.822222222222222,4680
2022,8,31,3,14,22,1,4.833333333333333,18
2022,8,31,3,14,33,1,4.666666666666667,3
2022,8,31,3,14,35,1,5.488915598290598,7488
2022,8,31,3,14,40,1,4.822232429949472,6531
2022,8,31,3,14,16,1,7.18813700918964,11970
2022,8,31,3,14,16,1,7.18813700918964,11970
2022,8,32,3,14,36,1,7.910075121520106,4526
2022,8,32,3,14,16,1,7.18813700918964,11970
2022,8,32,3,14,16,1,6.882631578947368,9500
2022,8,32,3,14,36,1,7.081274615109201,8379
2022,8,32,3,14,16,1,7.18813700918964,11970
2022,8,33,3,14,36,1,5.519585921325052,12075
2022,8,33,5,14,36,1,4.833333333333333,11700
2022,8,33,0,14,36,1,5.251005291005291,18900
2022,10,40,0,4,40,1,4.939519739519739,12285
2022,10,40,0,4,40,1,5.054311111111111,11250
2022,10,40,3,4,36,1,3.8028444444444442,11250
2022,10,40,0,4,36,1,5.986666666666666,11250
2022,10,40,0,4,36,1,5.697777777777778,11250
2022,10,40,3,4,40,1,7.0,9033
2022,10,40,3,4,4,1,7.0,2667
2022,10,41,0,4,36,1,5.885388685388685,12285
2022,10,41,0,4,36,1,4.886222222222222,11250
2022,10,41,0,4,36,1,5.192444444444445,11250
2022,10,41,0,4,36,1,4.8482666666666665,11250
2022,10,41,3,4,40,1,4.608557284299859,5656
2022,10,41,3,4,4,1,4.60771012574454,6044
2022,10,41,0,4,40,1,5.026933333333333,11250
2022,10,41,0,4,36,1,5.079466666666667,11250
2022,10,42,0,4,40,1,5.654222222222222,11250
2022,10,42,0,4,36,1,4.793955555555556,11250
2022,10,42,0,4,40,1,4.7784,11250
2022,10,42,0,4,36,1,5.1117333333333335,11250
